parent folder,file name,modality,kspace shape,reconstruction shape,kspace nan or inf count,reconstruction nan or inf count,kspace min,kspace max,kspace mean,kspace std,reconstruction min,reconstruction max,reconstruction mean,reconstruction std
MultiCoil,P124_cine_lax.h5,lax,"(12, 3, 10, 448, 204)","(12, 3, 448, 204)",0,0,1.7369651e-09,0.0074715004,2.1214117e-05,7.141015e-05,1.1972229e-06,0.0032107676,0.00010003823,0.00021327648
MultiCoil,P003_cine_lvot.h5,lvot,"(12, 1, 10, 416, 168)","(12, 1, 416, 168)",0,0,4.6968136e-09,0.0029562095,4.13421e-05,7.5584976e-05,1.3654328e-06,0.0035637235,0.00012541073,0.00024185676
MultiCoil,P092_cine_lvot.h5,lvot,"(12, 1, 10, 416, 168)","(12, 1, 416, 168)",0,0,3.910158e-09,0.0028529,2.6845328e-05,5.5259632e-05,1.5695157e-06,0.0024161537,9.852615e-05,0.00016743832
MultiCoil,P118_cine_lax.h5,lax,"(12, 3, 10, 448, 168)","(12, 3, 448, 168)",0,0,1.1477569e-09,0.0066205272,2.7353857e-05,7.546546e-05,1.3532233e-06,0.0032948237,0.00011263093,0.00022747969
MultiCoil,P024_tagging.h5,tagging,"(12, 11, 10, 448, 180)","(12, 11, 448, 180)",0,0,4.7210724e-10,0.004809499,1.0253677e-05,3.450863e-05,1.099853e-06,0.0011281671,6.176956e-05,9.562617e-05
MultiCoil,P082_cine_lax.h5,lax,"(12, 3, 10, 448, 204)","(12, 3, 448, 204)",0,0,8.762711e-10,0.0077518527,2.2944972e-05,7.9683494e-05,1.1926554e-06,0.0031671717,0.000116428084,0.000234955
MultiCoil,P142_aorta_tra.h5,tra,"(12, 8, 10, 416, 168)","(12, 8, 416, 168)",0,0,1.2889655e-09,0.0066453186,2.2975453e-05,6.746568e-05,1.35462e-06,0.0030762176,9.575142e-05,0.00020402575
MultiCoil,P111_cine_sax.h5,sax,"(12, 10, 10, 512, 162)","(12, 10, 512, 162)",0,0,9.0601027e-10,0.007210631,1.8057095e-05,5.1080515e-05,1.7239635e-06,0.0025099278,7.862876e-05,0.0001522179
MultiCoil,P045_cine_sax.h5,sax,"(12, 9, 10, 512, 246)","(12, 9, 512, 246)",0,0,5.4491172e-11,0.010201704,2.2237838e-05,8.030193e-05,1.585718e-06,0.0032741406,0.00011041975,0.00023924177
MultiCoil,P175_cine_sax.h5,sax,"(12, 11, 10, 512, 246)","(12, 11, 512, 246)",0,0,1.156487e-09,0.009113603,2.7159886e-05,9.197692e-05,1.3535054e-06,0.0042206435,0.00012675796,0.00027551065
MultiCoil,P161_T1map.h5,T1map,"(9, 5, 10, 512, 144)","(9, 5, 512, 144)",0,0,0.0,0.006154419,2.2006865e-05,6.562696e-05,2.116967e-06,0.0033765568,0.00011072598,0.00018881659
MultiCoil,P016_aorta_tra.h5,tra,"(12, 8, 10, 416, 168)","(12, 8, 416, 168)",0,0,2.172926e-10,0.0035874178,1.5907466e-05,4.2438976e-05,1.3170168e-06,0.002290795,6.182797e-05,0.00012929976
MultiCoil,P054_cine_lvot.h5,lvot,"(12, 1, 10, 416, 168)","(12, 1, 416, 168)",0,0,5.92187e-09,0.0054730894,2.7827862e-05,6.916142e-05,1.4732917e-06,0.002175907,0.00012767427,0.00019818213
MultiCoil,P146_cine_lax.h5,lax,"(12, 3, 10, 448, 204)","(12, 3, 448, 204)",0,0,1.2185506e-09,0.0064581023,2.099913e-05,6.7683606e-05,1.4168324e-06,0.0032308816,9.840726e-05,0.00020133628
