filename,acceleration,ny,nx,key,dimensions,shape_str
acc20_144x512.h5,20,144,512,data,"(9, 144, 512)",9x144x512
acc16_162x512.h5,16,162,512,data,"(12, 162, 512)",12x162x512
acc20_180x448.h5,20,180,448,data,"(12, 180, 448)",12x180x448
acc12_116x384.h5,12,116,384,data,"(3, 116, 384)",3x116x384
acc4_144x512.h5,4,144,512,data,"(9, 144, 512)",9x144x512
acc24_168x448.h5,24,168,448,data,"(12, 168, 448)",12x168x448
acc16_204x512.h5,16,204,512,data,"(12, 204, 512)",12x204x512
acc4_204x512.h5,4,204,512,data,"(12, 204, 512)",12x204x512
acc24_204x512.h5,24,204,512,data,"(12, 204, 512)",12x204x512
acc20_168x416.h5,20,168,416,data,"(12, 168, 416)",12x168x416
acc12_162x512.h5,12,162,512,data,"(12, 162, 512)",12x162x512
acc4_168x448.h5,4,168,448,data,"(12, 168, 448)",12x168x448
acc8_162x512.h5,8,162,512,data,"(12, 162, 512)",12x162x512
acc16_168x416.h5,16,168,416,data,"(12, 168, 416)",12x168x416
acc4_246x512.h5,4,246,512,data,"(12, 246, 512)",12x246x512
acc24_204x448.h5,24,204,448,data,"(12, 204, 448)",12x204x448
acc16_144x512.h5,16,144,512,data,"(9, 144, 512)",9x144x512
acc16_180x448.h5,16,180,448,data,"(12, 180, 448)",12x180x448
acc8_168x416.h5,8,168,416,data,"(12, 168, 416)",12x168x416
acc24_162x512.h5,24,162,512,data,"(12, 162, 512)",12x162x512
acc8_180x448.h5,8,180,448,data,"(12, 180, 448)",12x180x448
acc24_168x416.h5,24,168,416,data,"(12, 168, 416)",12x168x416
acc16_204x448.h5,16,204,448,data,"(12, 204, 448)",12x204x448
acc20_162x512.h5,20,162,512,data,"(12, 162, 512)",12x162x512
acc24_180x448.h5,24,180,448,data,"(12, 180, 448)",12x180x448
acc20_204x448.h5,20,204,448,data,"(12, 204, 448)",12x204x448
acc4_162x512.h5,4,162,512,data,"(12, 162, 512)",12x162x512
acc24_116x384.h5,24,116,384,data,"(3, 116, 384)",3x116x384
acc24_246x512.h5,24,246,512,data,"(12, 246, 512)",12x246x512
acc24_144x512.h5,24,144,512,data,"(9, 144, 512)",9x144x512
acc12_204x512.h5,12,204,512,data,"(12, 204, 512)",12x204x512
acc16_246x512.h5,16,246,512,data,"(12, 246, 512)",12x246x512
acc12_180x448.h5,12,180,448,data,"(12, 180, 448)",12x180x448
acc8_116x384.h5,8,116,384,data,"(3, 116, 384)",3x116x384
acc4_168x416.h5,4,168,416,data,"(12, 168, 416)",12x168x416
acc8_204x512.h5,8,204,512,data,"(12, 204, 512)",12x204x512
acc4_204x448.h5,4,204,448,data,"(12, 204, 448)",12x204x448
acc20_168x448.h5,20,168,448,data,"(12, 168, 448)",12x168x448
acc8_246x512.h5,8,246,512,data,"(12, 246, 512)",12x246x512
acc16_116x384.h5,16,116,384,data,"(3, 116, 384)",3x116x384
acc20_116x384.h5,20,116,384,data,"(3, 116, 384)",3x116x384
acc8_204x448.h5,8,204,448,data,"(12, 204, 448)",12x204x448
acc20_204x512.h5,20,204,512,data,"(12, 204, 512)",12x204x512
acc16_168x448.h5,16,168,448,data,"(12, 168, 448)",12x168x448
acc20_246x512.h5,20,246,512,data,"(12, 246, 512)",12x246x512
acc12_246x512.h5,12,246,512,data,"(12, 246, 512)",12x246x512
acc8_168x448.h5,8,168,448,data,"(12, 168, 448)",12x168x448
acc12_144x512.h5,12,144,512,data,"(9, 144, 512)",9x144x512
acc12_204x448.h5,12,204,448,data,"(12, 204, 448)",12x204x448
acc4_116x384.h5,4,116,384,data,"(3, 116, 384)",3x116x384
acc12_168x448.h5,12,168,448,data,"(12, 168, 448)",12x168x448
acc4_180x448.h5,4,180,448,data,"(12, 180, 448)",12x180x448
acc12_168x416.h5,12,168,416,data,"(12, 168, 416)",12x168x416
acc8_144x512.h5,8,144,512,data,"(9, 144, 512)",9x144x512
